domain,variant,metric,mean,ci_low,ci_high
medical_triage,baseline,precision,0.8612162545960711,0.8480989076128378,0.8695153119693387
medical_triage,baseline,recall,0.5110523560970837,0.5034503912065131,0.5198888888888888
medical_triage,baseline,utility,-0.8956702747710242,-0.9375520399666945,-0.8500416319733555
medical_triage,baseline,approval_rate_g0,0.6119445688950387,0.5997111948092038,0.6264407891141592
medical_triage,baseline,approval_rate_g1,0.18372750911732463,0.16758203260314977,0.19987298563149952
medical_triage,baseline,spd,-0.42821705977771407,-0.4530975442100115,-0.4025694905031023
medical_triage,baseline,disparate_impact,0.300867302366005,0.2709656286779826,0.33076897605402744
medical_triage,baseline,tpr_gap,-0.5085138244706122,-0.537388769254061,-0.47888485525669927
medical_triage,baseline,fpr_gap,-0.2725954098628895,-0.29124331808471526,-0.25328028963812305
medical_triage,baseline,fnr_gap,0.5085138244706122,0.47888485525669927,0.537388769254061
medical_triage,baseline,aod,-0.3905546171667509,-0.41072408635342506,-0.3715974912845544
medical_triage,baseline,harm_rate,0.48894764390291623,0.4801111111111111,0.4965496087934868
medical_triage,baseline,escalation_rate,,,
medical_triage,baseline,override_rate,,,
medical_triage,baseline,corrected_error_rate,,,
medical_triage,baseline,oversight_gain,,,
medical_triage,ethical_no_oversight,accuracy,0.7323896752706078,0.7203996669442132,0.7437135720233139
medical_triage,ethical_no_oversight,balanced_accuracy,0.6015076908096144,0.5825469240880622,0.6190906265247595
medical_triage,ethical_no_oversight,roc_auc,0.8268451586750324,0.8149550960304023,0.8376314421690925
medical_triage,ethical_no_oversight,precision,0.7213369100209229,0.708726752575045,0.7312960304965574
medical_triage,ethical_no_oversight,recall,0.9817104556187516,0.9758407833120477,0.989376968922946
medical_triage,ethical_no_oversight,utility,1.077685262281432,1.0566194837635305,1.094421315570358
medical_triage,ethical_no_oversight,approval_rate_g0,0.9103582001990249,0.8920083787263813,0.931658937079699
medical_triage,ethical_no_oversight,approval_rate_g1,0.9204020455128077,0.9075707815074763,0.93552327657187
medical_triage,ethical_no_oversight,spd,0.01004384531378275,0.00029802439298503013,0.019979111693890994
medical_triage,ethical_no_oversight,disparate_impact,1.0112874402781291,1.000337165944865,1.0224561194444197
medical_triage,ethical_no_oversight,tpr_gap,0.002000165659772257,-0.00368024819355397,0.011124720420057655
medical_triage,ethical_no_oversight,fpr_gap,0.022452413982763854,0.004533418807874878,0.04465659634360877
medical_triage,ethical_no_oversight,fnr_gap,-0.00200016565977226,-0.011124720420057643,0.003680248193553966
medical_triage,ethical_no_oversight,aod,0.012226289821268055,0.0007230650281777025,0.024462363213188086
medical_triage,ethical_no_oversight,harm_rate,0.01828954438124853,0.010623031077054066,0.024159216687952317
medical_triage,ethical_no_oversight,escalation_rate,,,
medical_triage,ethical_no_oversight,override_rate,,,
medical_triage,ethical_no_oversight,corrected_error_rate,,,
medical_triage,ethical_no_oversight,oversight_gain,,,
medical_triage,ethical_with_oversight,accuracy,0.7308909242298085,0.7184013322231474,0.7430474604496253
medical_triage,ethical_with_oversight,balanced_accuracy,0.6020805898440234,0.5830923969145527,0.6200373914756222
medical_triage,ethical_with_oversight,roc_auc,0.8268451586750324,0.8149550960304023,0.8376314421690925
medical_triage,ethical_with_oversight,precision,0.7219091929908344,0.7091694787207252,0.7320392013779717
medical_triage,ethical_with_oversight,recall,0.97625519184852,0.9704178069695312,0.982401614668856
medical_triage,ethical_with_oversight,utility,1.0545378850957536,1.031557035803497,1.0786011656952539
medical_triage,ethical_with_oversight,approval_rate_g0,0.9030859148042121,0.8871295455335815,0.9212180647858916
medical_triage,ethical_with_oversight,approval_rate_g1,0.916043200384766,0.9038876232828285,0.9315206825948513
medical_triage,ethical_with_oversight,spd,0.012957285580553868,0.005028994061296266,0.021711958222970097
medical_triage,ethical_with_oversight,disparate_impact,1.0145059134415175,1.0054658406340073,1.0245150152146982
